source,target,relation,source_label,target_label
ent::location::United States,prof::Appius Calpurnius Paullus,located_in,United States,Appius Calpurnius Paullus
ent::location::United States,prof::Appius Licinius Cicero,located_in,United States,Appius Licinius Cicero
ent::location::United States,prof::Horatia Pulchra,located_in,United States,Horatia Pulchra
ent::academic_org::Harvard University,prof::Appius Antonius Lepidus,studied_at,Harvard University,Appius Antonius Lepidus
ent::academic_org::Harvard University,prof::Appius Julius Paullus,studied_at,Harvard University,Appius Julius Paullus
ent::academic_org::Harvard University,prof::Antonia Drusa,studied_at,Harvard University,Antonia Drusa
ent::academic_org::Icade,prof::Appius Antonius Lepidus,studied_at,Icade,Appius Antonius Lepidus
ent::academic_org::Icade,prof::Appius Julius Crassus,studied_at,Icade,Appius Julius Crassus
prof::Appius Aemilius Scipio,ent::location::##Viedo,located_in,Appius Aemilius Scipio,##Viedo
prof::Appius Aemilius Scipio,ent::location::De,located_in,Appius Aemilius Scipio,De
prof::Appius Aemilius Scipio,ent::corporate_org::##Ets,worked_at,Appius Aemilius Scipio,##Ets
prof::Appius Aemilius Scipio,ent::corporate_org::##Rmohuman,worked_at,Appius Aemilius Scipio,##Rmohuman
prof::Appius Aemilius Scipio,ent::corporate_org::Accurate Quant,worked_at,Appius Aemilius Scipio,Accurate Quant
prof::Appius Aemilius Scipio,ent::corporate_org::Arizona State University,worked_at,Appius Aemilius Scipio,Arizona State University
prof::Appius Aemilius Scipio,ent::corporate_org::Autonomous System Technologies Research & Integration Laboratory,worked_at,Appius Aemilius Scipio,Autonomous System Technologies Research & Integration Laboratory
prof::Appius Aemilius Scipio,ent::corporate_org::Centre For Automation And Robotics,worked_at,Appius Aemilius Scipio,Centre For Automation And Robotics
prof::Appius Aemilius Scipio,ent::corporate_org::Csic,worked_at,Appius Aemilius Scipio,Csic
prof::Appius Aemilius Scipio,ent::corporate_org::Dr,worked_at,Appius Aemilius Scipio,Dr
prof::Appius Aemilius Scipio,ent::corporate_org::Massachusetts Institute Of Technology,worked_at,Appius Aemilius Scipio,Massachusetts Institute Of Technology
prof::Appius Aemilius Scipio,ent::corporate_org::The,worked_at,Appius Aemilius Scipio,The
prof::Appius Aemilius Scipio,ent::corporate_org::Universidad De O,worked_at,Appius Aemilius Scipio,Universidad De O
prof::Appius Aemilius Scipio,ent::corporate_org::Upm,worked_at,Appius Aemilius Scipio,Upm
prof::Appius Aemilius Scipio,ent::academic_org::Computer Vision,studied_at,Appius Aemilius Scipio,Computer Vision
prof::Appius Aemilius Scipio,ent::academic_org::O,studied_at,Appius Aemilius Scipio,O
prof::Appius Aemilius Scipio,ent::academic_org::Universidad,studied_at,Appius Aemilius Scipio,Universidad
prof::Appius Aemilius Scipio,ent::location::##Hapel,worked_in,Appius Aemilius Scipio,##Hapel
prof::Appius Aemilius Scipio,ent::location::S,worked_in,Appius Aemilius Scipio,S
prof::Appius Aemilius Scipio,ent::academic_org::Universidad Politécnica,studied_at,Appius Aemilius Scipio,Universidad Politécnica De Madrid
ent::corporate_org::Csic,prof::Appius Flavius Rufus,worked_at,Csic,Appius Flavius Rufus
ent::academic_org::O,prof::Appius Horatius Paullus,studied_at,O,Appius Horatius Paullus
ent::academic_org::Universidad,prof::Appius Horatius Drusus,studied_at,Universidad,Appius Horatius Drusus
ent::academic_org::Universidad,prof::Appius Horatius Naso,studied_at,Universidad,Appius Horatius Naso
prof::Appius Aemilius Severus,ent::location::Middle East,located_in,Appius Aemilius Severus,Middle East
prof::Appius Aemilius Severus,ent::corporate_org::Boston Consulting Group,worked_at,Appius Aemilius Severus,Boston Consulting Group
prof::Appius Aemilius Severus,ent::corporate_org::Digital Transformation,worked_at,Appius Aemilius Severus,Digital Transformation
prof::Appius Aemilius Severus,ent::corporate_org::E,worked_at,Appius Aemilius Severus,E
prof::Appius Aemilius Severus,ent::corporate_org::Havas Digital,worked_at,Appius Aemilius Severus,Havas Digital
prof::Appius Aemilius Severus,ent::corporate_org::Lead,worked_at,Appius Aemilius Severus,Lead
prof::Appius Aemilius Severus,ent::corporate_org::Newco,worked_at,Appius Aemilius Severus,Newco
prof::Appius Aemilius Severus,ent::corporate_org::Svp,worked_at,Appius Aemilius Severus,Svp
prof::Appius Aemilius Severus,ent::corporate_org::Tmt Industries,worked_at,Appius Aemilius Severus,Tmt Industries
prof::Appius Aemilius Severus,ent::course::Digital Transformation,teaches_course,Appius Aemilius Severus,Digital Transformation
prof::Appius Aemilius Severus,ent::academic_org::Advanced Global,studied_at,Appius Aemilius Severus,Advanced Global
prof::Appius Aemilius Severus,ent::academic_org::Ie,studied_at,Appius Aemilius Severus,Ie
prof::Appius Aemilius Severus,ent::academic_org::Robotics,studied_at,Appius Aemilius Severus,Robotics
prof::Appius Aemilius Severus,ent::academic_degree::International Executive Mba,has_degree,Appius Aemilius Severus,International Executive Mba
prof::Appius Aemilius Severus,ent::location::##Ccenture,worked_in,Appius Aemilius Severus,##Ccenture
prof::Appius Aemilius Severus,ent::location::##Tisalat,worked_in,Appius Aemilius Severus,##Tisalat
prof::Appius Aemilius Severus,ent::location::A,worked_in,Appius Aemilius Severus,A
prof::Appius Aemilius Severus,ent::location::Neoris,worked_in,Appius Aemilius Severus,Neoris
prof::Appius Aemilius Severus,ent::location::Uae,worked_in,Appius Aemilius Severus,Uae
prof::Appius Aemilius Severus,ent::academic_org::Universidad Politécnica,studied_at,Appius Aemilius Severus,Universidad Politécnica De Madrid
prof::Appius Aemilius Severus,ent::academic_org::Technology And Innovation,studied_at,Appius Aemilius Severus,Technology And Innovation Management
ent::location::Middle East,prof::Appius Cornelius Cicero,located_in,Middle East,Appius Cornelius Cicero
ent::corporate_org::Boston Consulting Group,prof::Appius Cornelius Cicero,worked_at,Boston Consulting Group,Appius Cornelius Cicero
ent::corporate_org::Digital Transformation,prof::Appius Horatius Brutus,worked_at,Digital Transformation,Appius Horatius Brutus
ent::academic_org::Ie,prof::Appius Julius Naso,studied_at,Ie,Appius Julius Naso
ent::academic_org::Ie,prof::Horatia Pulchra,studied_at,Ie,Horatia Pulchra
prof::Appius Antonius Lepidus,ent::corporate_org::##Bartlet,worked_at,Appius Antonius Lepidus,##Bartlet
prof::Appius Antonius Lepidus,ent::corporate_org::Be,worked_at,Appius Antonius Lepidus,Be
